"","","mag.vec1","mag.vec2","mag.vec3","mag.vec4"
"181",2006.83333333333,5.7,5.43333333333333,3,3
"182",2007,5.48,6.26,3,3
"183",2007.16666666667,5.5,5.23333333333333,3,3
"184",2007.33333333333,5.68571428571429,5.21666666666667,3,3
"185",2007.5,5.23333333333333,5.15,3,3
"186",2007.66666666667,5.4,5.05,3,3
"187",2007.83333333333,5.31666666666667,5.15,3,3
"188",2008,3,5.08,3,3
"189",2008.16666666667,5.15,5.5,3,3
"190",2008.33333333333,5.06,5.4375,3,3
"191",2008.5,5.28,5.24,3,3
"192",2008.66666666667,5.45,5.42,3,3
"193",2008.83333333333,5.3,5.13333333333333,3,3
