"","","mag.vec1","mag.vec2","mag.vec3","mag.vec4"
"1",1977,3,3,3,3
"2",1977.03846153846,3,5.45,3,3
"3",1977.07692307692,3,3,3,3
"4",1977.11538461538,3,3,3,3
"5",1977.15384615385,3,3,3,3
"6",1977.19230769231,3,3,3,3
"7",1977.23076923077,6.65,3,3,3
"8",1977.26923076923,3,3,3,3
"9",1977.30769230769,3,3,3,3
"10",1977.34615384615,3,3,3,3
"11",1977.38461538462,5.8,5.8,3,3
"12",1977.42307692308,3,3,3,3
"13",1977.46153846154,3,3,3,3
"14",1977.5,3,3,3,3
"15",1977.53846153846,5.8,3,3,3
"16",1977.57692307692,6.8,3,3,3
"17",1977.61538461538,3,3,3,3
"18",1977.65384615385,3,3,3,3
"19",1977.69230769231,3,5.5,3,3
"20",1977.73076923077,3,3,3,3
"21",1977.76923076923,3,3,3,3
"22",1977.80769230769,5.5,3,3,3
"23",1977.84615384615,3,3,3,3
"24",1977.88461538462,3,3,3,3
"25",1977.92307692308,3,3,3,3
"26",1977.96153846154,3,3,3,3
"27",1978,6,3,3,3
"28",1978.03846153846,3,6.1,3,3
"29",1978.07692307692,3,3,3,3
"30",1978.11538461538,6,3,3,3
"31",1978.15384615385,3,5.8,3,3
"32",1978.19230769231,3,3,3,3
"33",1978.23076923077,5.55,3,3,3
"34",1978.26923076923,3,3,3,3
"35",1978.30769230769,3,3,3,3
"36",1978.34615384615,3,5.9,3,3
"37",1978.38461538462,3,3,3,3
"38",1978.42307692308,3,5.6,3,3
"39",1978.46153846154,3,3,3,3
"40",1978.5,3,3,3,3
"41",1978.53846153846,3,3,3,3
"42",1978.57692307692,7.2,3,3,3
"43",1978.61538461538,5.4,5.4,3,3
"44",1978.65384615385,5.2,3,3,3
"45",1978.69230769231,5.2,5.93333333333333,3,3
"46",1978.73076923077,3,3,3,3
"47",1978.76923076923,3,3,3,3
"48",1978.80769230769,3,3,3,3
"49",1978.84615384615,3,3,3,3
"50",1978.88461538462,3,3,3,3
"51",1978.92307692308,3,3,3,3
"52",1978.96153846154,3,3,3,3
"53",1979,7,3,3,3
"54",1979.03846153846,3,3,3,3
"55",1979.07692307692,3,3,3,3
"56",1979.11538461538,3,3,3,3
"57",1979.15384615385,3,3,3,3
"58",1979.19230769231,3,3,3,3
"59",1979.23076923077,3,5.6,3,3
"60",1979.26923076923,5.4,3,3,3
"61",1979.30769230769,3,3,3,3
"62",1979.34615384615,3,3,3,3
"63",1979.38461538462,3,3,3,3
"64",1979.42307692308,3,3,3,3
"65",1979.46153846154,3,3,3,3
"66",1979.5,3,3,3,3
"67",1979.53846153846,3,3,3,3
"68",1979.57692307692,3,3,3,3
"69",1979.61538461538,3,3,3,3
"70",1979.65384615385,3,6.7,3,3
"71",1979.69230769231,3,3,3,3
"72",1979.73076923077,3,3,3,3
"73",1979.76923076923,3,3,3,3
"74",1979.80769230769,3,3,3,3
"75",1979.84615384615,3,3,3,3
"76",1979.88461538462,3,3,3,3
"77",1979.92307692308,3,5.9,3,3
"78",1979.96153846154,3,3,3,3
"79",1980,3,5.5,3,3
"80",1980.03846153846,3,3,3,3
"81",1980.07692307692,3,3,3,3
"82",1980.11538461538,3,3,3,3
"83",1980.15384615385,5.3,3,3,3
"84",1980.19230769231,5.8,3,3,3
"85",1980.23076923077,3,5.5,3,3
"86",1980.26923076923,5.9,3,3,3
"87",1980.30769230769,3,3,3,3
"88",1980.34615384615,3,3,3,3
